Dos;tijd in min;hoek;error
0,5;2;24,3;0,01
0,5;4;24;0,02
0,5;6;23,9;0,09
0,5;8;23,2;0,06
0,5;10;22,9;0,01
0,5;15;22,8;0,02
0,5;20;22,7;0,02
0,5;25;22,7;0,01
0,5;60;22,2;0,07
1;2;17,9;0,02
1;4;16,8;0,19
1;6;15,8;0,05
1;8;15,8;0,03
1;10;15,3;0,07
1;15;14,9;0,09
1;20;14,8;0,18
1;25;14,5;0,06
1;60;13,9;0,19
3;2;14,1;0,05
3;4;12,9;0,06
3;6;12;0,06
3;8;8,9;0,78
3;10;9,1;1,57
3;15;9,7;1,51
3;20;9,9;0,43
3;25;8,7;1,06
3;60;8;1,07
5;2;19,2;0,05
5;4;17,6;0,08
5;6;16,8;0,08
5;8;15,6;0,01
5;10;15,6;0,07
5;15;14,2;0,05
5;20;13,6;0,07
5;25;13,2;0,11
5;60;10,6;1,15
;;;
;;;
;;;
;;;
;;;
