Triton;tijd in min;hoek;error
0.5;2;15.3;0.01
0.5;4;13.7;0.21
0.5;6;10.9;1.38
0.5;8;8.6;1.13
0.5;10;9.6;1.55
0.5;15;9.8;0.97
0.5;20;6.8;0.2
0.5;25;7.9;1.2
0.5;60;7.7;1.89
1;2;13.4;0.01
1;4;12.4;0.03
1;6;11.2;1.13
1;8;10.5;1.11
1;10;11.6;0.01
1;15;8.2;0.86
1;20;9.9;0.91
1;25;7.8;1.35
1;60;8;1.37
3;2;10;1.57
3;4;7.5;0.14
3;6;9.1;1.49
3;8;9.4;0.26
3;10;8.4;1.33
3;15;8.5;0.26
3;20;7.1;1.42
3;25;7.8;0.08
3;60;7.3;0.02
5;2;9.3;0.8
5;4;9;0.67
5;6;7.7;1.2
5;8;8;0.22
5;10;6.9;1.51
5;15;7.1;0.14
5;20;6.4;0.3
5;25;6.2;0.25
5;60;5.6;0.11
